customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
0,0.5641025641025641,1,0.5,0.31421647819063003,0.2,0.8,0.2,0.8,0.8,1.0,0.8,0.8,0.75,1.0,0.8,0.8,0.005025125628140704,0.0,1
1,0.3974358974358974,1,0.5,0.18275444264943458,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,0.6000000000000001,1.0,0.6000000000000001,0.0,0.0,0
0,0.0,0,1.0,0.12883683360258483,0.6000000000000001,0.8,0.4,1.0,0.4,1.0,1.0,1.0,1.0,0.6000000000000001,0.8,1.0,0.0,0.0,0
0,0.4487179487179487,1,0.5,0.3636914378029079,0.2,0.2,0.2,1.0,0.8,0.8,0.8,0.8,0.75,0.6000000000000001,0.8,1.0,0.0,0.0,1
0,0.5769230769230769,1,0.5,0.42649434571890144,0.6000000000000001,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,0
0,0.7435897435897435,0,0.0,0.16518578352180938,0.4,0.8,0.4,0.2,0.4,0.2,0.2,0.8,1.0,0.6000000000000001,1.0,0.2,0.000628140703517588,0.0,0
0,0.6666666666666666,1,1.0,0.07269789983844911,0.2,1.0,1.0,0.6000000000000001,0.6000000000000001,0.8,0.2,0.2,0.0,0.6000000000000001,0.2,0.4,0.0,0.0025252525252525255,0
0,0.6666666666666666,0,1.0,0.1417609046849758,0.2,0.6000000000000001,0.2,0.2,0.2,0.8,0.2,0.4,0.5,0.6000000000000001,0.8,0.2,0.000628140703517588,0.001893939393939394,0
0,0.5128205128205128,1,1.0,0.017770597738287562,0.6000000000000001,0.8,0.8,0.8,0.4,0.6000000000000001,0.4,0.4,0.25,0.2,0.4,0.4,0.0,0.0,0
0,0.20512820512820512,0,1.0,0.34592084006462037,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.8,0.5,1.0,0.8,0.4,0.0,0.0,0
1,0.16666666666666663,1,0.5,0.007269789983844911,0.4,0.4,0.4,0.8,0.4,0.6000000000000001,0.8,0.4,0.75,0.6000000000000001,0.8,0.8,0.006909547738693468,0.022727272727272728,0
0,0.5897435897435898,1,0.5,0.3852988691437803,1.0,1.0,1.0,0.4,0.8,1.0,1.0,1.0,1.0,0.8,1.0,0.6000000000000001,0.006909547738693468,0.020202020202020204,1
0,0.8076923076923076,0,0.5,0.15811793214862682,0.8,0.0,0.8,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6000000000000001,0.0,0.0,0
1,0.16666666666666663,1,0.0,0.10319063004846528,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0.75,0.4,0.6000000000000001,0.6000000000000001,0.04334170854271357,0.038510101010101015,0
0,0.1923076923076923,1,0.0,0.2827140549273021,0.6000000000000001,0.2,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,0.5,0.8,0.8,0.6000000000000001,0.0,0.0,0
0,0.3846153846153846,1,1.0,0.09632471728594508,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.4,1.0,0.8,1.0,0.8,0.0,0.0,1
