,Algorithm,Dataset,Accuracy,Precision,Recall
0,Random-Forest-train,dataset-train,0.9920358808882652,0.9920813397846036,0.9920358808882652
1,Random-Forest-train,dataset_l-train,0.986315228521908,0.9863500192626816,0.986315228521908
2,Random-Forest-train,dataset_outliers-train,0.9940805136714523,0.9941227231659122,0.9940805136714523
3,Random-Forest-train,dataset_l_outliers-train,0.9868264239518532,0.9868824810389343,0.9868264239518532
4,Random-Forest-train,dataset_isolation-train,0.9954866314601931,0.9954982636041695,0.9954866314601931
5,Random-Forest-train,dataset_l_isolation-train,0.992923471171664,0.9929316227964835,0.992923471171664
6,Random-Forest-train,dataset_dc_outliers-train,0.9943061499670058,0.994345734157438,0.9943061499670058
7,Random-Forest-train,dataset_l_dc_outliers-train,0.9856577805361875,0.9857276387355881,0.9856577805361875
8,Random-Forest-train,dataset_sample-train,1.0,1.0,1.0
9,Random-Forest-train,dataset_outliers_representative-train,1.0,1.0,1.0
10,Random-Forest-train,dataset_outliers_l_representative-train,1.0,1.0,1.0
11,Random-Forest-train,dataset_outliers_reduce-train,0.9945891349830459,0.9946324737469114,0.9945891349830459
12,Random-Forest-train,dataset_l_outliers_reduce-train,0.9888576760057799,0.9890542091345089,0.9888576760057799
13,Random-Forest-train,dataset_m_outliers-train,1.0,1.0,1.0
14,Random-Forest-train,dataset_l_m_outliers-train,1.0,1.0,1.0
15,Bagging-train,dataset-train,0.9995578703872416,0.9995580787575318,0.9995578703872416
16,Bagging-train,dataset_l-train,0.9992837118858515,0.9992839570328382,0.9992837118858515
17,Bagging-train,dataset_outliers-train,0.9996897770723612,0.9996898426345273,0.9996897770723612
18,Bagging-train,dataset_l_outliers-train,0.9994182913514618,0.9994184514455992,0.9994182913514618
19,Bagging-train,dataset_isolation-train,0.9994928798642189,0.9994931600476631,0.9994928798642189
20,Bagging-train,dataset_l_isolation-train,0.9995616313302674,0.999561803109129,0.9995616313302674
21,Bagging-train,dataset_dc_outliers-train,0.9997421141327901,0.9997421339349877,0.9997421141327901
22,Bagging-train,dataset_l_dc_outliers-train,0.9993996701070635,0.9993998856247204,0.9993996701070635
23,Bagging-train,dataset_sample-train,1.0,1.0,1.0
24,Bagging-train,dataset_outliers_representative-train,1.0,1.0,1.0
25,Bagging-train,dataset_outliers_l_representative-train,1.0,1.0,1.0
26,Bagging-train,dataset_outliers_reduce-train,0.9988023952095808,0.9988029385721626,0.9988023952095808
27,Bagging-train,dataset_l_outliers_reduce-train,0.9988554998164064,0.9988565058016154,0.9988554998164064
28,Bagging-train,dataset_m_outliers-train,1.0,1.0,1.0
29,Bagging-train,dataset_l_m_outliers-train,1.0,1.0,1.0
30,Ada-Boost-train,dataset-train,0.9407874935697503,0.9409449884476118,0.9407874935697503
31,Ada-Boost-train,dataset_l-train,0.938072934874358,0.9382815481012532,0.938072934874358
32,Ada-Boost-train,dataset_outliers-train,0.9517495130221485,0.9521129048173614,0.9517495130221485
33,Ada-Boost-train,dataset_l_outliers-train,0.9442339913006625,0.9445733475925465,0.9442339913006625
34,Ada-Boost-train,dataset_isolation-train,0.9538317962411149,0.954015668514818,0.9538317962411149
35,Ada-Boost-train,dataset_l_isolation-train,0.9690681548443804,0.969119121930369,0.9690681548443804
36,Ada-Boost-train,dataset_dc_outliers-train,0.9541573919366906,0.9545703665588802,0.9541573919366906
37,Ada-Boost-train,dataset_l_dc_outliers-train,0.9443958651393874,0.9447711655255248,0.9443958651393874
38,Ada-Boost-train,dataset_sample-train,1.0,1.0,1.0
39,Ada-Boost-train,dataset_outliers_representative-train,1.0,1.0,1.0
40,Ada-Boost-train,dataset_outliers_l_representative-train,1.0,1.0,1.0
41,Ada-Boost-train,dataset_outliers_reduce-train,0.9198037659620517,0.920896439931053,0.9198037659620517
42,Ada-Boost-train,dataset_l_outliers_reduce-train,0.9226942098698281,0.9234259995395717,0.9226942098698281
43,Ada-Boost-train,dataset_m_outliers-train,1.0,1.0,1.0
44,Ada-Boost-train,dataset_l_m_outliers-train,1.0,1.0,1.0
45,Gradient-Boosting-Regressor-train,dataset-train,0.9687767878399042,0.9689760787660907,0.9687767878399042
46,Gradient-Boosting-Regressor-train,dataset_l-train,0.9590750437127173,0.959290320054851,0.9590750437127173
47,Gradient-Boosting-Regressor-train,dataset_outliers-train,0.9767657456171994,0.9771549563109414,0.9767657456171994
48,Gradient-Boosting-Regressor-train,dataset_l_outliers-train,0.9641847090859192,0.9646222900714534,0.9641847090859192
49,Gradient-Boosting-Regressor-train,dataset_isolation-train,0.9772641218847928,0.9773957399893913,0.9772641218847928
50,Gradient-Boosting-Regressor-train,dataset_l_isolation-train,0.9841516211033186,0.9841462590216581,0.9841516211033186
51,Gradient-Boosting-Regressor-train,dataset_dc_outliers-train,0.9774485570673017,0.9778091441018472,0.9774485570673017
52,Gradient-Boosting-Regressor-train,dataset_l_dc_outliers-train,0.9632213009666707,0.9637048778983598,0.9632213009666707
53,Gradient-Boosting-Regressor-train,dataset_sample-train,1.0,1.0,1.0
54,Gradient-Boosting-Regressor-train,dataset_outliers_representative-train,1.0,1.0,1.0
55,Gradient-Boosting-Regressor-train,dataset_outliers_l_representative-train,1.0,1.0,1.0
56,Gradient-Boosting-Regressor-train,dataset_outliers_reduce-train,0.944985931750956,0.9453491827817846,0.944985931750956
57,Gradient-Boosting-Regressor-train,dataset_l_outliers_reduce-train,0.9489917049206659,0.9493013743469527,0.9489917049206659
58,Gradient-Boosting-Regressor-train,dataset_m_outliers-train,1.0,1.0,1.0
59,Gradient-Boosting-Regressor-train,dataset_l_m_outliers-train,1.0,1.0,1.0
