,Algorithm,Dataset,Accuracy,Precision,Recall
0,Logistic-regression,dataset,0.8707206369883667,0.8705615232676305,0.8707206369883667
1,Logistic-regression,dataset_l,0.8633222129166821,0.8631170649890125,0.8633222129166821
2,Logistic-regression,dataset_outliers,0.8812351201212033,0.8813016729764357,0.8812351201212033
3,Logistic-regression,dataset_l_outliers,0.8719105621446854,0.871895380895304,0.8719105621446854
4,Logistic-regression,dataset_isolation,0.9158451091899845,0.915897856336181,0.9158451091899845
5,Logistic-regression,dataset_l_isolation,0.9551253626382028,0.9550860695725707,0.9551253626382028
6,Logistic-regression,dataset_dc_outliers,0.8841820644635023,0.8842434407629627,0.8841820644635023
7,Logistic-regression,dataset_l_dc_outliers,0.8702109508886844,0.8702136099737008,0.8702109508886844
8,Logistic-regression,dataset_sample,0.8656501257089901,0.8654420846589701,0.8656501257089901
9,Logistic-regression,dataset_outliers_representative,0.8845210420841684,0.8860289377125152,0.8845210420841684
10,Logistic-regression,dataset_outliers_l_representative,0.8808525396475076,0.8831635548312888,0.8808525396475076
11,Logistic-regression,dataset_outliers_reduce,0.8734434744967896,0.8734167257672126,0.8734434744967896
12,Logistic-regression,dataset_l_outliers_reduce,0.8709836228008561,0.8709959843175559,0.8709836228008561
13,Logistic-regression,dataset_m_outliers,0.8181482965931863,0.8269248818426015,0.8181482965931863
14,Logistic-regression,dataset_l_m_outliers,0.7783417935702199,0.8065931480748089,0.7783417935702199
15,KNN,dataset,0.9267880202857723,0.9268084957573812,0.9267880202857723
16,KNN,dataset_l,0.9288963239972267,0.928858685464944,0.9288963239972267
17,KNN,dataset_outliers,0.9330351345501768,0.9334359293853998,0.9330351345501768
18,KNN,dataset_l_outliers,0.9353310077159429,0.9353924172732879,0.9353310077159429
19,KNN,dataset_isolation,0.9443249612957679,0.9443956073875078,0.9443249612957679
20,KNN,dataset_l_isolation,0.9720875466134775,0.972103126374785,0.9720875466134775
21,KNN,dataset_dc_outliers,0.9402926631436964,0.9406995377603454,0.9402926631436964
22,KNN,dataset_l_dc_outliers,0.9387527544020056,0.9388046404823364,0.9387527544020056
23,KNN,dataset_sample,0.8562970336110658,0.8560482158083244,0.8562970336110658
24,KNN,dataset_outliers_representative,0.8901162324649299,0.8939267478519486,0.8901162324649299
25,KNN,dataset_outliers_l_representative,0.8916879486290212,0.8943689878342724,0.8916879486290212
26,KNN,dataset_outliers_reduce,0.9231801457326311,0.9232727845864659,0.9231801457326311
27,KNN,dataset_l_outliers_reduce,0.9353782970887196,0.9353836974700258,0.9353782970887196
28,KNN,dataset_m_outliers,0.8181963927855711,0.826927825087949,0.8181963927855711
29,KNN,dataset_l_m_outliers,0.7789933894546562,0.8071834128707973,0.7789933894546562
30,Naive-Bayes,dataset,0.8664499325704271,0.8663496124013479,0.8664499325704271
31,Naive-Bayes,dataset_l,0.8666043906157606,0.8665858893891965,0.8666043906157606
32,Naive-Bayes,dataset_outliers,0.8868335617920785,0.8889419212910067,0.8868335617920785
33,Naive-Bayes,dataset_l_outliers,0.8817475984918289,0.882168709708503,0.8817475984918289
34,Naive-Bayes,dataset_isolation,0.9020379134373899,0.9036210857261835,0.9020379134373899
35,Naive-Bayes,dataset_l_isolation,0.9409186663183938,0.942198759066191,0.9409186663183938
36,Naive-Bayes,dataset_dc_outliers,0.888824018020866,0.8901188431080863,0.888824018020866
37,Naive-Bayes,dataset_l_dc_outliers,0.8805049017316007,0.8812889403146252,0.8805049017316007
38,Naive-Bayes,dataset_sample,0.8522211448527961,0.8519564385735857,0.8522211448527961
39,Naive-Bayes,dataset_outliers_representative,0.8813306613226453,0.8877131560660944,0.8813306613226453
40,Naive-Bayes,dataset_outliers_l_representative,0.8792550787695348,0.8798757167083907,0.8792550787695348
41,Naive-Bayes,dataset_outliers_reduce,0.8648005194430416,0.8650491705078996,0.8648005194430416
42,Naive-Bayes,dataset_l_outliers_reduce,0.8658097177238723,0.8660386118740175,0.8658097177238723
43,Naive-Bayes,dataset_m_outliers,0.8184849699398797,0.8270738402920108,0.8184849699398797
44,Naive-Bayes,dataset_l_m_outliers,0.7790038990656956,0.8068619608671351,0.7790038990656956
45,Decision-Tree-Classifier,dataset,0.9041602724024902,0.9040740301528242,0.9041602724024902
46,Decision-Tree-Classifier,dataset_l,0.9027161048870564,0.9053084117725382,0.9027161048870564
47,Decision-Tree-Classifier,dataset_outliers,0.9350119039030373,0.9351287854007726,0.9350119039030373
48,Decision-Tree-Classifier,dataset_l_outliers,0.9251629403913146,0.9252780962844426,0.9251629403913146
49,Decision-Tree-Classifier,dataset_isolation,0.9280024428367648,0.9284582175794831,0.9280024428367648
50,Decision-Tree-Classifier,dataset_l_isolation,0.9602068878090764,0.9609688730422311,0.9602068878090764
51,Decision-Tree-Classifier,dataset_dc_outliers,0.9357728262643656,0.9358271572735888,0.9357728262643656
52,Decision-Tree-Classifier,dataset_l_dc_outliers,0.9246529384910858,0.9247692586268297,0.9246529384910858
53,Decision-Tree-Classifier,dataset_sample,0.8631359459065205,0.8688437220674791,0.8631359459065205
54,Decision-Tree-Classifier,dataset_outliers_representative,0.8704128256513026,0.8739569554993686,0.8704128256513026
55,Decision-Tree-Classifier,dataset_outliers_l_representative,0.8724028123719141,0.8786337439354258,0.8724028123719141
56,Decision-Tree-Classifier,dataset_outliers_reduce,0.9009450977562947,0.9036443569977634,0.9009450977562947
57,Decision-Tree-Classifier,dataset_l_outliers_reduce,0.9062739411592137,0.9071842875152317,0.9062739411592137
58,Decision-Tree-Classifier,dataset_m_outliers,0.8193667334669339,0.8278985284870122,0.8193667334669339
59,Decision-Tree-Classifier,dataset_l_m_outliers,0.7782787359039842,0.806383137973198,0.7782787359039842
