,Algorithm,Dataset,Accuracy,Precision,Recall
0,Logistic-regression-train,dataset-train,0.8707244760429915,0.8705537757620322,0.8707244760429915
1,Logistic-regression-train,dataset_l-train,0.863401347810683,0.8631869458368062,0.863401347810683
2,Logistic-regression-train,dataset_outliers-train,0.881307264988096,0.8813642955897864,0.881307264988096
3,Logistic-regression-train,dataset_l_outliers-train,0.8719200183614376,0.8719026984452656,0.8719200183614376
4,Logistic-regression-train,dataset_isolation-train,0.9161696872899892,0.9162012929155683,0.9161696872899892
5,Logistic-regression-train,dataset_l_isolation-train,0.9552192761953661,0.9551781720329571,0.9552192761953661
6,Logistic-regression-train,dataset_dc_outliers-train,0.8842838900393553,0.8843354053309405,0.8842838900393553
7,Logistic-regression-train,dataset_l_dc_outliers-train,0.8700637029326757,0.8700639716728833,0.8700637029326757
8,Logistic-regression-train,dataset_sample-train,0.8627450980392157,0.8627450980392157,0.8627450980392157
9,Logistic-regression-train,dataset_outliers_representative-train,0.9019607843137255,0.9019607843137255,0.9019607843137255
10,Logistic-regression-train,dataset_outliers_l_representative-train,0.8986928104575164,0.8985246590044952,0.8986928104575164
11,Logistic-regression-train,dataset_outliers_reduce-train,0.8734939759036144,0.8734515384272357,0.8734939759036144
12,Logistic-regression-train,dataset_l_outliers_reduce-train,0.8711018423554971,0.8711128708388574,0.8711018423554971
13,Logistic-regression-train,dataset_m_outliers-train,0.9996212394488132,0.9996213423368632,0.9996212394488132
14,Logistic-regression-train,dataset_l_m_outliers-train,1.0,1.0,1.0
15,KNN-train,dataset-train,1.0,1.0,1.0
16,KNN-train,dataset_l-train,0.9999247028584678,0.9999247033336873,0.9999247028584678
17,KNN-train,dataset_outliers-train,1.0,1.0,1.0
18,KNN-train,dataset_l_outliers-train,0.9999645299509081,0.99996453023847,0.9999645299509081
19,KNN-train,dataset_isolation-train,1.0,1.0,1.0
20,KNN-train,dataset_l_isolation-train,0.999968687995038,0.9999686886627778,0.999968687995038
21,KNN-train,dataset_dc_outliers-train,1.0,1.0,1.0
22,KNN-train,dataset_l_dc_outliers-train,0.9999637536494118,0.9999637547792399,0.9999637536494118
23,KNN-train,dataset_sample-train,1.0,1.0,1.0
24,KNN-train,dataset_outliers_representative-train,1.0,1.0,1.0
25,KNN-train,dataset_outliers_l_representative-train,1.0,1.0,1.0
26,KNN-train,dataset_outliers_reduce-train,1.0,1.0,1.0
27,KNN-train,dataset_l_outliers_reduce-train,0.9999645299509081,0.9999645307151305,0.9999645299509081
28,KNN-train,dataset_m_outliers-train,1.0,1.0,1.0
29,KNN-train,dataset_l_m_outliers-train,1.0,1.0,1.0
30,Naive-Bayes-train,dataset-train,0.8665483793970997,0.866442059319675,0.8665483793970997
31,Naive-Bayes-train,dataset_l-train,0.8665715489612417,0.8665439870497279,0.8665715489612417
32,Naive-Bayes-train,dataset_outliers-train,0.8866099127047111,0.8886902235882832,0.8866099127047111
33,Naive-Bayes-train,dataset_l_outliers-train,0.8817428564399787,0.882158471664107,0.8817428564399787
34,Naive-Bayes-train,dataset_isolation-train,0.9021562706182451,0.9037293338274452,0.9021562706182451
35,Naive-Bayes-train,dataset_l_isolation-train,0.9410483304521232,0.9423334111214456,0.9410483304521232
36,Naive-Bayes-train,dataset_dc_outliers-train,0.8887459940429061,0.8900427365956703,0.8887459940429061
37,Naive-Bayes-train,dataset_l_dc_outliers-train,0.8805592803776827,0.8813406655878284,0.8805592803776827
38,Naive-Bayes-train,dataset_sample-train,0.8431372549019608,0.8433988053052547,0.8431372549019608
39,Naive-Bayes-train,dataset_outliers_representative-train,0.8954248366013072,0.8956348474604053,0.8954248366013072
40,Naive-Bayes-train,dataset_outliers_l_representative-train,0.9019607843137255,0.904511511998143,0.9019607843137255
41,Naive-Bayes-train,dataset_outliers_reduce-train,0.8648005194430416,0.8650277459680622,0.8648005194430416
42,Naive-Bayes-train,dataset_l_outliers_reduce-train,0.8657671474921231,0.8659972988285297,0.8657671474921231
43,Naive-Bayes-train,dataset_m_outliers-train,0.9995310583651973,0.9995312471027578,0.9995310583651973
44,Naive-Bayes-train,dataset_l_m_outliers-train,1.0,1.0,1.0
45,Decision-Tree-Classifier-train,dataset-train,0.9041602637680775,0.904063368178553,0.9041602637680775
46,Decision-Tree-Classifier-train,dataset_l-train,0.9027469940685633,0.9053253580420078,0.9027469940685633
47,Decision-Tree-Classifier-train,dataset_outliers-train,0.9356539932183825,0.9357621766638718,0.9356539932183825
48,Decision-Tree-Classifier-train,dataset_l_outliers-train,0.9257091618618821,0.9258193446256353,0.9257091618618821
49,Decision-Tree-Classifier-train,dataset_isolation-train,0.9287090695161917,0.9291451323983582,0.9287090695161917
50,Decision-Tree-Classifier-train,dataset_l_isolation-train,0.9604439168558392,0.9611988683423563,0.9604439168558392
51,Decision-Tree-Classifier-train,dataset_dc_outliers-train,0.9365363162130343,0.9365741966719687,0.9365363162130343
52,Decision-Tree-Classifier-train,dataset_l_dc_outliers-train,0.9255908140031955,0.9257334471090963,0.9255908140031955
53,Decision-Tree-Classifier-train,dataset_sample-train,0.9215686274509803,0.9235129477620716,0.9215686274509803
54,Decision-Tree-Classifier-train,dataset_outliers_representative-train,0.9575163398692811,0.9589725948859076,0.9575163398692811
55,Decision-Tree-Classifier-train,dataset_outliers_l_representative-train,0.9705882352941176,0.9706752564361114,0.9705882352941176
56,Decision-Tree-Classifier-train,dataset_outliers_reduce-train,0.9028461149989176,0.9055941258860415,0.9028461149989176
57,Decision-Tree-Classifier-train,dataset_l_outliers_reduce-train,0.9076549095302215,0.90859508340581,0.9076549095302215
